<IPython.core.display.HTML object>

X shape: (6701, 64, 64, 3)

Y shape: (6701,)

Using cuda device
3 Layer Model | loss_sqrt: 0.287533 | [   82/  200]
3 Layer Model | loss_sqrt: 0.287528 | [   83/  200]
3 Layer Model | loss_sqrt: 0.287524 | [   84/  200]
3 Layer Model | loss_sqrt: 0.287519 | [   85/  200]
3 Layer Model | loss_sqrt: 0.287515 | [   86/  200]
3 Layer Model | loss_sqrt: 0.287511 | [   87/  200]
3 Layer Model | loss_sqrt: 0.287507 | [   88/  200]
3 Layer Model | loss_sqrt: 0.287504 | [   89/  200]
3 Layer Model | loss_sqrt: 0.287500 | [   90/  200]
3 Layer Model | loss_sqrt: 0.287496 | [   91/  200]
3 Layer Model | loss_sqrt: 0.287493 | [   92/  200]
3 Layer Model | loss_sqrt: 0.287489 | [   93/  200]
3 Layer Model | loss_sqrt: 0.287485 | [   94/  200]
3 Layer Model | loss_sqrt: 0.287482 | [   95/  200]
3 Layer Model | loss_sqrt: 0.287478 | [   96/  200]
3 Layer Model | loss_sqrt: 0.287474 | [   97/  200]
3 Layer Model | loss_sqrt: 0.287470 | [   98/  200]
3 Layer Model | loss_sqrt: 0.287467 | [   99/  200]
3 Layer Model | loss_sqrt: 0.287463 | [  100/  200]
3 Layer Model | loss_sqrt: 0.287460 | [  101/  200]
3 Layer Model | loss_sqrt: 0.287456 | [  102/  200]
3 Layer Model | loss_sqrt: 0.287453 | [  103/  200]
3 Layer Model | loss_sqrt: 0.287450 | [  104/  200]
3 Layer Model | loss_sqrt: 0.287446 | [  105/  200]
3 Layer Model | loss_sqrt: 0.287443 | [  106/  200]
3 Layer Model | loss_sqrt: 0.287439 | [  107/  200]
3 Layer Model | loss_sqrt: 0.287436 | [  108/  200]
3 Layer Model | loss_sqrt: 0.287432 | [  109/  200]
3 Layer Model | loss_sqrt: 0.287429 | [  110/  200]
3 Layer Model | loss_sqrt: 0.287426 | [  111/  200]
3 Layer Model | loss_sqrt: 0.287422 | [  112/  200]
3 Layer Model | loss_sqrt: 0.287419 | [  113/  200]
3 Layer Model | loss_sqrt: 0.287416 | [  114/  200]
3 Layer Model | loss_sqrt: 0.287412 | [  115/  200]
3 Layer Model | loss_sqrt: 0.287409 | [  116/  200]
3 Layer Model | loss_sqrt: 0.287406 | [  117/  200]
3 Layer Model | loss_sqrt: 0.287402 | [  118/  200]
3 Layer Model | loss_sqrt: 0.287399 | [  119/  200]
3 Layer Model | loss_sqrt: 0.287396 | [  120/  200]
3 Layer Model | loss_sqrt: 0.287392 | [  121/  200]
3 Layer Model | loss_sqrt: 0.287389 | [  122/  200]
3 Layer Model | loss_sqrt: 0.287386 | [  123/  200]
3 Layer Model | loss_sqrt: 0.287383 | [  124/  200]
3 Layer Model | loss_sqrt: 0.287379 | [  125/  200]
3 Layer Model | loss_sqrt: 0.287376 | [  126/  200]
3 Layer Model | loss_sqrt: 0.287373 | [  127/  200]
3 Layer Model | loss_sqrt: 0.287370 | [  128/  200]
3 Layer Model | loss_sqrt: 0.287367 | [  129/  200]
3 Layer Model | loss_sqrt: 0.287363 | [  130/  200]
3 Layer Model | loss_sqrt: 0.287360 | [  131/  200]
3 Layer Model | loss_sqrt: 0.287357 | [  132/  200]
3 Layer Model | loss_sqrt: 0.287354 | [  133/  200]
3 Layer Model | loss_sqrt: 0.287351 | [  134/  200]
3 Layer Model | loss_sqrt: 0.287348 | [  135/  200]
3 Layer Model | loss_sqrt: 0.287344 | [  136/  200]
3 Layer Model | loss_sqrt: 0.287341 | [  137/  200]
3 Layer Model | loss_sqrt: 0.287338 | [  138/  200]
3 Layer Model | loss_sqrt: 0.287335 | [  139/  200]
3 Layer Model | loss_sqrt: 0.287332 | [  140/  200]
3 Layer Model | loss_sqrt: 0.287329 | [  141/  200]
3 Layer Model | loss_sqrt: 0.287326 | [  142/  200]
3 Layer Model | loss_sqrt: 0.287323 | [  143/  200]
3 Layer Model | loss_sqrt: 0.287320 | [  144/  200]
3 Layer Model | loss_sqrt: 0.287317 | [  145/  200]
3 Layer Model | loss_sqrt: 0.287314 | [  146/  200]
3 Layer Model | loss_sqrt: 0.287311 | [  147/  200]
3 Layer Model | loss_sqrt: 0.287308 | [  148/  200]
3 Layer Model | loss_sqrt: 0.287305 | [  149/  200]
3 Layer Model | loss_sqrt: 0.287303 | [  150/  200]
3 Layer Model | loss_sqrt: 0.287300 | [  151/  200]
3 Layer Model | loss_sqrt: 0.287297 | [  152/  200]
3 Layer Model | loss_sqrt: 0.287294 | [  153/  200]
3 Layer Model | loss_sqrt: 0.287291 | [  154/  200]
3 Layer Model | loss_sqrt: 0.287288 | [  155/  200]
3 Layer Model | loss_sqrt: 0.287285 | [  156/  200]
3 Layer Model | loss_sqrt: 0.287283 | [  157/  200]
3 Layer Model | loss_sqrt: 0.287280 | [  158/  200]
3 Layer Model | loss_sqrt: 0.287277 | [  159/  200]
3 Layer Model | loss_sqrt: 0.287274 | [  160/  200]
3 Layer Model | loss_sqrt: 0.287271 | [  161/  200]
3 Layer Model | loss_sqrt: 0.287269 | [  162/  200]
3 Layer Model | loss_sqrt: 0.287266 | [  163/  200]
3 Layer Model | loss_sqrt: 0.287263 | [  164/  200]
3 Layer Model | loss_sqrt: 0.287261 | [  165/  200]
3 Layer Model | loss_sqrt: 0.287258 | [  166/  200]
3 Layer Model | loss_sqrt: 0.287255 | [  167/  200]
3 Layer Model | loss_sqrt: 0.287252 | [  168/  200]
3 Layer Model | loss_sqrt: 0.287250 | [  169/  200]
3 Layer Model | loss_sqrt: 0.287247 | [  170/  200]
3 Layer Model | loss_sqrt: 0.287244 | [  171/  200]
3 Layer Model | loss_sqrt: 0.287242 | [  172/  200]
3 Layer Model | loss_sqrt: 0.287239 | [  173/  200]
3 Layer Model | loss_sqrt: 0.287236 | [  174/  200]
3 Layer Model | loss_sqrt: 0.287234 | [  175/  200]
3 Layer Model | loss_sqrt: 0.287231 | [  176/  200]
3 Layer Model | loss_sqrt: 0.287229 | [  177/  200]
3 Layer Model | loss_sqrt: 0.287226 | [  178/  200]
3 Layer Model | loss_sqrt: 0.287223 | [  179/  200]
3 Layer Model | loss_sqrt: 0.287221 | [  180/  200]
3 Layer Model | loss_sqrt: 0.287218 | [  181/  200]
3 Layer Model | loss_sqrt: 0.287216 | [  182/  200]
3 Layer Model | loss_sqrt: 0.287213 | [  183/  200]
3 Layer Model | loss_sqrt: 0.287211 | [  184/  200]
3 Layer Model | loss_sqrt: 0.287208 | [  185/  200]
3 Layer Model | loss_sqrt: 0.287205 | [  186/  200]
3 Layer Model | loss_sqrt: 0.287203 | [  187/  200]
3 Layer Model | loss_sqrt: 0.287201 | [  188/  200]
3 Layer Model | loss_sqrt: 0.287198 | [  189/  200]
3 Layer Model | loss_sqrt: 0.287196 | [  190/  200]
3 Layer Model | loss_sqrt: 0.287193 | [  191/  200]
3 Layer Model | loss_sqrt: 0.287191 | [  192/  200]
3 Layer Model | loss_sqrt: 0.287189 | [  193/  200]
3 Layer Model | loss_sqrt: 0.287186 | [  194/  200]
3 Layer Model | loss_sqrt: 0.287184 | [  195/  200]
3 Layer Model | loss_sqrt: 0.287181 | [  196/  200]
3 Layer Model | loss_sqrt: 0.287179 | [  197/  200]
3 Layer Model | loss_sqrt: 0.287177 | [  198/  200]
3 Layer Model | loss_sqrt: 0.287174 | [  199/  200]
3 Layer Model | loss_sqrt: 0.287172 | [  200/  200]
4 Layer Model | loss_sqrt: 0.641342 | [    1/  200]
4 Layer Model | loss_sqrt: 0.593408 | [    2/  200]
4 Layer Model | loss_sqrt: 0.548061 | [    3/  200]
4 Layer Model | loss_sqrt: 0.505798 | [    4/  200]
4 Layer Model | loss_sqrt: 0.467305 | [    5/  200]
4 Layer Model | loss_sqrt: 0.432976 | [    6/  200]
4 Layer Model | loss_sqrt: 0.403292 | [    7/  200]
4 Layer Model | loss_sqrt: 0.378250 | [    8/  200]
4 Layer Model | loss_sqrt: 0.357663 | [    9/  200]
4 Layer Model | loss_sqrt: 0.341229 | [   10/  200]
4 Layer Model | loss_sqrt: 0.328373 | [   11/  200]
4 Layer Model | loss_sqrt: 0.318551 | [   12/  200]
4 Layer Model | loss_sqrt: 0.311184 | [   13/  200]
4 Layer Model | loss_sqrt: 0.305700 | [   14/  200]
4 Layer Model | loss_sqrt: 0.301637 | [   15/  200]
4 Layer Model | loss_sqrt: 0.298667 | [   16/  200]
4 Layer Model | loss_sqrt: 0.296489 | [   17/  200]
4 Layer Model | loss_sqrt: 0.294907 | [   18/  200]
4 Layer Model | loss_sqrt: 0.293744 | [   19/  200]
4 Layer Model | loss_sqrt: 0.292896 | [   20/  200]
4 Layer Model | loss_sqrt: 0.292278 | [   21/  200]
